City,What a kilo of rice costs in minutes worked,What a Big Mac costs in minutes worked,What a kilo of bread costs in minutes worked,"What an iPhone 6, 16 GB costs in hours worked",Normal monthly rent in dollars,Cost of a basket of 122 goods and services in dollars
Berlin,13,13,9,43.3,690,2117
Beijing,36,42,40,217.8,1390,2052
Bogota ,18,35,18,143.7,380,1791
Chicago,6,11,10,28.4,2210,2792
London,16,12,6,41.2,2360,2832
Jakarta,58,67,70,468,260,1783
Kiev,44,55,26,627.2,390,1273
Madrid,7,19,13,60.5,900,2024
Manila,34,87,83,334.2,190,1714
Moscow,24,20,12,158.3,1020,1735
Mumbai,49,40,27,349.4,550,1500
New Delhi,73,50,23,360.3,640,1520
New York City,16,11,12,24,3890,3342
Oslo,4,19,20,37.6,1940,3105
Paris,9,15,10,42.2,1610,2426
Rio de Janeiro,9,32,18,139.9,590,1936
Sao Paulo,5,25,16,109.2,910,1984